# Run   Event    |  MJD     |   RA    Dec   | 50%    90% | E_Muon   E_Nu   |  Sig. | Selection | Overlap
# --- 2011 (13 bronze events / 5 gold events) ---
129654   8332254 |  57925.2 |   74.3   25.9 |  1.0   2.6 |      78     109 |   37% |  Bronze   |
129677  55886338 |  57930.5 |  281.0    8.9 |  0.3   0.7 |     176     201 |   55% |  Gold     |
129701  49353375 |  57938.3 |  230.3   23.3 |  0.2   0.5 |     167     195 |   60% |  Gold     |
129777  67372962 |  57951.8 |  208.2   26.2 |  0.3   0.8 |     481     534 |   87% |  Gold     |
129855  33565191 |  57968.1 |    2.0    4.4 |  0.9   2.4 |     183     208 |   55% |  Gold     |
129878  40814378 |  57974.6 |   20.9   -2.3 |  0.2   0.5 |     199     226 |   60% |  Gold     |
129915  72252401 |  57984.3 |   27.3   18.7 |  0.2   0.5 |     130     167 |   51% |  Bronze   |
129933  32926212 |  57989.6 |   41.7   12.1 |  0.7   1.8 |     141     175 |   49% |  Gold     |
130033  50579430 |  58018.9 |   77.3    5.7 |  0.2   0.5 |     231     264 |   63% |  Gold     |  EHE
130034   7858514 |  58019.0 |  173.1   -2.7 |  0.2   0.5 |     178     202 |   56% |  Gold     |
130092  30964247 |  58032.3 |  133.0   17.2 |  0.2   0.5 |      90     118 |   37% |  Bronze   |
130172  52824390 |  58054.8 |  294.8    1.3 |  0.5   1.2 |     100     133 |   34% |  Bronze   |
130214  17569642 |  58063.8 |  340.3    7.3 |  0.2   0.5 |   1,485   1,573 |   98% |  Gold     |  EHE
130220  11599241 |  58065.8 |  269.8  -20.4 |  0.2   0.5 |  18,542  20,310 |   18% |  Bronze   |
# --- 2018 (19 bronze events / 6 gold events) ---
130588  44934051 |  58528.7 |   75.1   13.3 |  0.5   1.3 |     358     415 |   79% |  Gold     |
130597  55489144 |  58144.0 |  207.5   23.6 |  0.2   0.5 |      80     110 |   36% |  Bronze   |
130639  37366501 |  58154.0 |   17.5  -10.5 |  0.2   0.5 |      85     113 |   23% |  Bronze   |
130684  80612787 |  58162.4 |   66.6    5.8 |  0.2   0.5 |      83     112 |   28% |  Bronze   |
130743  25740057 |  58177.6 |  295.5   26.5 |  0.2   0.5 |      94     124 |   42% |  Bronze   |
130797  67186364 |  58190.7 |  286.9    5.8 |  0.2   0.5 |     123     162 |   39% |  Bronze   |
130801  16289732 |  58191.8 |   58.5    0.7 |  0.2   0.5 |     107     145 |   36% |  Bronze   |
130807   3160265 |  58193.2 |  271.9   -1.5 |  0.2   0.5 |     116     157 |   39% |  Bronze   |
130912  76035104 |  58218.8 |  218.6    0.4 |  0.2   0.5 |     206     234 |   60% |  Gold     |
130932  35022693 |  58225.3 |  305.9   -4.2 |  0.2   0.5 |     178     202 |   58% |  Gold     |
131096  32665194 |  58266.5 |  312.0    0.2 |  0.2   0.5 |      79     109 |   28% |  Bronze   |
131134  60192271 |  58277.6 |   68.6   -0.9 |  0.2   0.5 |     119     159 |   40% |  Bronze   |
131145  43542963 |  58281.2 |  340.5    4.5 |  0.7   1.7 |      75     107 |   25% |  Bronze   |
131165   9342044 |  58283.0 |   37.2   11.5 |  0.8   2.0 |     115     155 |   42% |  Bronze   |
131321  73241305 |  58327.8 |   75.3  -17.5 |  0.2   0.6 |  14,944  15,462 |   19% |  Bronze   |
131360  57649537 |  58337.2 |  101.2   10.3 |  0.5   1.4 |      74     106 |   28% |  Bronze   |
131477  57977901 |  58370.6 |  141.9   26.4 |  0.2   0.6 |     135     171 |   53% |  Bronze   |
131505  52347097 |  58375.5 |  360.0  -10.1 |  0.4   0.9 |     104     140 |   21% |  Bronze   |
131519  27561842 |  58380.1 |  258.0   32.7 |  0.2   0.5 |     106     143 |   48% |  Bronze   |
131602  39194539 |  58399.8 |   77.3    1.4 |  0.2   0.5 |      77     108 |   27% |  Bronze   |
131653  63430929 |  58414.7 |   78.3   21.4 |  0.2   0.5 |     101     136 |   43% |  Bronze   |
131746  47815348 |  58436.9 |    5.3   19.1 |  0.2   0.5 |     107     145 |   44% |  Bronze   |
131764  48222919 |  58442.7 |   26.5   13.0 |  1.0   2.6 |     158     188 |   54% |  Gold     |
131767   7377802 |  58442.9 |  323.4   49.4 |  1.1   2.9 |     138     174 |   57% |  Gold     |
131768  80926380 |  58443.6 |  132.0   32.9 |  0.4   1.0 |     184     208 |   64% |  Gold     |
# --- 2019 (3 bronze events / 1 gold events) ---
132043  80110393 |  58528.7 |   57.3   -0.9 |  0.2   0.5 |     115     156 |   39% |  Bronze   |
132128  69441226 |  58515.0 |  245.1   38.5 |  0.2   0.5 |     125     163 |   53% |  Bronze   |
132206  36575563 |  58528.7 |  228.1   -4.2 |  0.2   0.5 |     294     348 |   74% |  Gold     |
132237  23969090 |  58537.9 |  155.1   19.8 |  0.2   0.5 |     130     167 |   51% |  Bronze   |
